bandwidth,computation_nodes,energy_consumption,storage_capacity
15,1.7033694783036721,1.5831009995196659,150000
29,1.2693810391838238,1.5729424283280249,150000
126,1.7443694361652025,1.1907330674966996,150000
16,1.6495417636939438,0.1595944388761407,150000
76,1.2405017722839637,1.3040374580999607,150000
103,1.6173695692324743,1.3997688755590465,150000
40,1.5994356286635383,0.9984180925677072,150000
123,1.306009779053729,0.11299751935612204,150000
101,1.8864011770160887,0.9452287963070051,150000
39,1.3056584758388061,2.0144261444135623,150000
23,1.3702539996238894,0.8598546012746747,150000
56,1.3948773185330912,1.3074520627337822,150000
105,9.22851309309752,1.0188497593436852,150000
60,6.499304651412837,0.2576003961569163,150000
92,7.172713125628372,1.3370395047284922,150000
85,9.44682760124311,0.48457718051331977,150000
96,6.278220595294964,0.5557965513030937,150000
22,7.157551854408428,1.810635442030294,150000
60,9.465934667021079,0.6559472062201842,150000
58,8.542737777057601,0.4253081943121696,150000
97,7.421082800910086,0.6339556440982267,150000
94,9.746618350849976,0.24280501915709665,150000
80,8.539913152788241,1.5582535959006985,150000
60,6.653609975047713,0.6398956535685559,150000
100,9.701564718484871,1.2138994875492926,150000
796,1.7530756760888622,1.6519998230924897,150000
608,1.2519528791605148,1.7100916015424288,150000
616,1.441281265724562,0.5219656871726529,150000
783,2.03720068576856,0.7293557615969558,150000
701,1.7209825318243681,1.869366307773405,150000
636,1.7071370572204667,0.6297603329961049,150000
743,1.2712902584633818,1.177954579334581,150000
709,1.8217151928174837,1.895645767204954,150000
656,1.439340555654437,2.094651555978322,150000
726,1.1521649193799415,0.28181882434758776,150000
628,1.051828012967208,0.4056826386965221,150000
774,1.1759802018946952,0.944319933599368,150000
697,6.254110824607828,1.2917768567222563,150000
664,7.872199551138709,2.042156755227236,150000
602,9.443118808937992,1.460566820513037,150000
737,6.458206971934747,1.6017555991832195,150000
687,9.074394930629783,0.32310434719175285,150000
716,7.73906100267642,0.10649063220345859,150000
784,8.888368245239644,0.6267781015021815,150000
645,8.002344452201193,1.1153633492086505,150000
760,6.42564329119082,0.6968895828972658,150000
755,8.555797979464021,0.49782220352946605,150000
641,7.495655410364591,1.1787580602392516,150000
735,9.114505914522233,1.9369869887914046,150000
725,8.395778337840916,0.1389534847716646,150000
