,job_id,node_id,nb_tasks,transfert_time,time_of_use,data_size
0,0,1,1,96.60377358490567,174.37445367491873,10240
1,0,26,1,14.442877291960508,255.04012699444772,10240
2,0,29,1,14.463276836158192,261.9802221118965,10240
3,0,30,1,14.242002781641169,198.76937012200668,10240
4,0,32,1,13.894165535956581,244.98339683009252,10240
5,0,33,1,15.170370370370371,192.38702284678098,10240
6,1,3,0,131.28205128205127,0.0,5120
7,1,7,0,93.0909090909091,0.0,5120
8,1,9,2,42.666666666666664,309.7886440647069,5120
9,1,25,1,6.481012658227848,80.751534603464,5120
10,1,34,5,6.530612244897959,1756.2472334958286,5120
11,1,8,0,93.0909090909091,0.0,5120
12,1,11,0,85.33333333333333,0.0,5120
13,2,27,1,3.2251968503937007,69.9098044042486,2048
14,2,28,1,3.261146496815287,91.56801866435558,2048
15,2,31,1,3.4019933554817277,97.3428836228974,2048
16,2,35,1,2.5761006289308175,103.4538454378563,2048
17,1,36,1,7.57396449704142,137.02992987743104,5120
18,2,4,2,55.351351351351354,205.83791333045,2048
19,3,48,1,14.927113702623906,344.93946740631145,10240
20,3,49,1,15.609756097560975,346.02294651931544,10240
21,3,1,1,96.60377358490567,62.27659059818526,10240
22,2,9,1,17.066666666666666,55.31940072584052,2048
23,2,3,1,52.51282051282051,51.63884706909387,2048
24,3,36,3,15.14792899408284,880.9066920691996,10240
25,4,5,1,25.6,159.94356286635383,1024
26,4,7,1,18.618181818181817,176.79533344870495,1024
27,4,8,1,18.618181818181817,205.29343794274598,1024
28,4,10,1,9.752380952380953,188.78411006018183,1024
29,2,25,1,2.5924050632911393,57.67966757390285,2048
30,4,28,1,1.6305732484076434,183.13603732871115,1024
31,4,31,1,1.7009966777408638,194.6857672457948,1024
32,4,35,1,1.2880503144654087,206.9076908757126,1024
33,4,25,1,1.2962025316455696,115.3593351478057,1024
34,4,9,1,8.533333333333333,110.63880145168103,1024
35,3,33,2,15.170370370370371,274.83860406683,10240
36,3,30,2,14.242002781641169,283.9562430314381,10240
37,4,4,1,27.675675675675677,102.918956665225,1024
38,2,34,1,2.6122448979591835,50.178492385595106,2048
39,4,3,1,26.256410256410255,103.27769413818774,1024
40,3,32,1,13.894165535956581,87.49407029646162,10240
41,4,27,1,1.6125984251968504,139.8196088084972,1024
42,3,26,1,14.442877291960508,91.08575964087419,10240
43,3,29,1,14.463276836158192,93.56436503996304,10240
44,5,11,1,34.13333333333333,372.67692126791536,2048
45,5,1,1,19.32075471698113,224.19572615346692,2048
46,5,4,1,55.351351351351354,185.25412199740498,2048
47,5,32,1,2.778833107191316,314.9786530672618,2048
48,5,33,1,3.034074074074074,247.354743660147,2048
49,5,34,1,2.6122448979591835,180.6425725881424,2048
50,5,25,1,2.5924050632911393,207.64680326605026,2048
51,5,3,1,52.51282051282051,185.89984944873794,2048
52,5,9,1,17.066666666666666,199.14984261302587,2048
53,5,30,1,2.8484005563282335,255.5606187282943,2048
54,5,28,1,3.261146496815287,329.6448671916801,2048
55,5,5,1,51.2,287.89841315943687,2048
56,5,26,1,2.8885754583921015,327.90873470714706,2048
57,5,29,1,2.8926553672316384,336.8317141438669,2048
58,5,27,1,3.2251968503937007,251.675295855295,2048
59,6,36,1,10.603550295857989,97.87852134102218,7168
60,7,7,1,93.0909090909091,212.15440013844594,5120
61,7,8,1,93.0909090909091,246.35212553129517,5120
62,6,48,1,10.448979591836734,344.93946740631145,7168
63,6,49,1,10.926829268292684,346.02294651931544,7168
64,7,25,1,6.481012658227848,138.43120217736683,5120
65,6,1,0,67.62264150943396,0.0,7168
66,7,9,1,42.666666666666664,132.76656174201725,5120
67,7,4,1,138.3783783783784,123.50274799827,5120
68,6,18,0,77.0752688172043,0.0,7168
69,9,43,1,7.10124826629681,325.67829289995257,5120
70,9,44,1,6.781456953642384,353.01132578801185,5120
71,9,47,1,6.994535519125683,374.68410050585874,5120
72,7,34,4,6.530612244897959,1926.8541076068523,5120
73,7,3,0,131.28205128205127,0.0,5120
74,7,33,0,7.5851851851851855,0.0,5120
75,9,37,1,8.012519561815337,421.7940422876344,5120
76,10,33,1,10.619259259259259,192.38702284678098,7168
77,9,8,0,93.0909090909091,0.0,5120
78,6,30,1,9.969401947148818,70.98906075785952,7168
79,6,9,0,59.733333333333334,0.0,7168
80,7,36,1,7.57396449704142,234.90845121845325,5120
81,7,30,1,7.1210013908205845,170.37374581886286,5120
82,9,36,0,7.57396449704142,0.0,5120
83,7,1,0,48.301886792452834,0.0,5120
84,9,18,0,55.053763440860216,0.0,5120
85,6,32,0,9.725915875169607,0.0,7168
86,9,39,0,7.062068965517241,0.0,5120
87,9,46,0,7.293447293447294,0.0,5120
88,11,0,0,273.06666666666666,0.0,4096
89,7,32,1,6.947082767978291,209.98576871150786,5120
90,12,1,5,48.301886792452834,3736.5954358911154,5120
91,11,26,0,5.777150916784203,0.0,4096
92,12,11,1,85.33333333333333,248.45128084527693,5120
93,13,21,0,256.0,0.0,4096
94,11,28,1,6.522292993630574,219.76324479445339,4096
95,13,39,1,5.649655172413793,419.7889168920458,4096
96,13,41,1,6.606451612903226,475.60191984080814,4096
97,9,42,1,6.448362720403023,463.2046506840177,5120
98,13,45,1,5.1651954602774275,485.78269860043537,4096
99,13,46,1,5.834757834757835,442.5897945638244,4096
100,11,5,0,102.4,0.0,4096
101,12,26,0,7.221438645980254,0.0,5120
102,6,34,9,9.142857142857142,4064.4578832332045,7168
103,13,18,1,44.043010752688176,314.28050191570964,4096
104,12,29,1,7.231638418079096,224.5544760959113,5120
105,11,4,0,110.70270270270271,0.0,4096
106,11,9,5,34.13333333333333,3319.1640435504314,4096
107,10,3,0,183.7948717948718,0.0,7168
108,14,14,1,83.59183673469387,552.927448208495,4096
109,14,19,1,57.690140845070424,558.3394960484565,4096
110,14,22,1,105.02564102564102,565.6770803122249,4096
111,14,24,1,43.57446808510638,606.6022083394125,4096
112,9,40,1,7.551622418879056,475.74437556463687,5120
113,7,5,0,128.0,0.0,5120
114,11,33,1,6.068148148148148,164.903162440098,4096
115,12,33,0,7.5851851851851855,0.0,5120
116,12,7,0,93.0909090909091,0.0,5120
117,9,25,1,6.481012658227848,57.67966757390285,5120
118,12,8,0,93.0909090909091,0.0,5120
119,11,36,1,6.059171597633136,234.90845121845325,4096
120,11,30,1,5.696801112656467,170.37374581886286,4096
121,12,36,0,7.57396449704142,0.0,5120
122,14,48,1,5.970845481049563,551.9031478500983,4096
123,14,49,1,6.2439024390243905,553.6367144309047,4096
124,14,13,1,40.15686274509804,664.7526864821639,4096
125,14,17,0,40.554455445544555,0.0,4096
126,11,32,2,5.557666214382632,839.9430748460314,4096
127,15,32,1,9.725915875169607,244.98339683009252,7168
128,14,12,1,45.010989010989015,745.4094925609584,4096
129,14,15,1,68.26666666666667,757.2747733616864,4096
130,14,23,1,78.76923076923077,760.4376404712541,4096
131,7,43,1,7.10124826629681,781.6279029598861,5120
132,9,3,0,131.28205128205127,0.0,5120
133,16,17,1,101.38613861386139,694.4560558008618,10240
134,11,7,1,74.47272727272727,212.15440013844594,4096
135,16,26,1,14.442877291960508,145.7372154253987,10240
136,7,28,2,8.152866242038217,879.0529791778135,5120
137,12,5,2,128.0,767.7291017584984,5120
138,14,44,1,5.425165562913907,564.8181212608189,4096
139,7,29,1,7.231638418079096,224.5544760959113,5120
140,12,0,0,341.3333333333333,0.0,5120
141,16,8,0,186.1818181818182,0.0,10240
142,14,47,1,5.595628415300546,599.494560809374,4096
143,16,4,0,276.7567567567568,0.0,10240
144,13,1,0,38.64150943396226,0.0,4096
145,15,33,5,10.619259259259259,4809.675571169524,7168
146,15,11,1,119.46666666666667,289.85982765282307,7168
147,15,30,1,9.969401947148818,198.76937012200668,7168
148,12,25,1,6.481012658227848,138.43120217736683,5120
149,15,5,0,179.2,0.0,7168
150,16,18,0,110.10752688172043,0.0,10240
151,7,26,1,7.221438645980254,218.60582313809806,5120
152,15,36,1,10.603550295857989,274.0598597548621,7168
153,12,32,0,6.947082767978291,0.0,5120
154,16,36,3,15.14792899408284,1409.4507073107195,10240
155,16,32,0,13.894165535956581,0.0,10240
156,16,1,1,96.60377358490567,99.6425449570964,10240
157,15,8,0,130.3272727272727,0.0,7168
158,16,46,1,14.586894586894587,708.1436713021191,10240
159,16,41,1,16.516129032258064,760.9630717452931,10240
160,16,29,1,14.463276836158192,149.70298406394085,10240
161,19,18,1,110.10752688172043,502.8488030651354,10240
162,10,25,1,9.073417721518988,161.503069206928,7168
163,14,3,6,105.02564102564102,2974.397591179807,4096
164,17,4,2,27.675675675675677,329.34066132872,1024
