,job_id,nb_tasks,task_execution_time,arriving_time,starting_time,finishing_time,dataset size,transfert time,nb replicas,optimal_replicas_number,nb_first_replicas_sended
0,2,11,10,136.70131903925054,136.79999999999652,235.09999999999093,10240,16.842105263157894,5,,
1,1,9,50,104.53891263175399,104.59999999999833,367.50000000001506,20480,31.21951219512195,15,,
2,3,13,10,161.9599376062619,161.99999999999508,371.40000000001595,40960,52.91989664082687,3,,
3,0,6,80,102.0060287274801,102.09999999999847,441.2000000000318,40960,57.771509167842034,17,,
4,5,2,80,408.2365057669295,408.30000000002434,708.9000000000926,71680,96.47375504710632,1,,
5,4,12,100,295.3192048870702,295.39999999999867,726.7000000000967,40960,52.91989664082687,13,,
6,6,4,80,630.9653157220675,631.0000000000749,832.4000000001207,10240,16.305732484076433,8,,
7,9,7,10,697.8901898431092,697.9000000000901,901.7000000001365,10240,13.229974160206718,4,,
8,11,8,10,792.9534122257069,793.0000000001118,1261.0999999999485,51200,81.52866242038216,5,,
9,15,9,10,1001.494145056603,1001.5000000001592,1494.1999999997365,71680,96.47375504710632,3,,
10,10,8,70,722.5618594390916,793.0000000001118,1609.6999999996315,10240,13.229974160206718,6,,
11,13,12,50,817.8120195101056,922.8000000001413,1788.1999999994691,40960,67.36842105263158,8,,
12,16,6,100,1026.3967869532853,1026.500000000162,1881.5999999993842,102400,161.0062893081761,6,,
13,12,9,80,795.6428525937376,795.7000000001124,1901.3999999993662,102400,137.81965006729476,13,,
14,7,18,70,640.0605561827242,640.100000000077,1921.6999999993477,102400,163.05732484076432,39,,
15,18,13,70,1281.1514670057713,1281.1999999999302,2031.4999999992478,102400,144.42877291960508,4,,
16,8,20,70,694.8651721223733,694.9000000000894,2045.2999999992353,71680,98.73278236914601,35,,
17,14,12,50,922.7612196323629,922.8000000001413,2080.0999999992036,102400,132.29974160206717,18,,
18,17,8,50,1115.3776575834615,1197.5000000000064,2407.0999999989062,51200,81.52866242038216,5,,
19,19,18,50,1281.803463861198,1281.8999999999296,2432.2999999988833,102400,139.31972789115648,7,,
