,job_id,nb_tasks,task_execution_time,arriving_time,starting_time,finishing_time,dataset size,transfert time,nb replicas,optimal_replicas_number,nb_first_replicas_sended
0,5,1,10,40.82365057669294,64.7000000000006,133.6999999999967,40960,51.45728643216081,2,,
1,0,7,10,10.200602872748009,10.599999999999978,170.3999999999946,20480,33.68421052631579,6,,
2,3,18,70,16.195993760626187,16.599999999999966,179.79999999999407,2048,3.261146496815287,18,,
3,2,7,100,13.670131903925054,14.099999999999966,342.6000000000094,40960,52.91989664082687,9,,
4,8,4,1,69.4865172122373,69.60000000000032,355.8000000000124,10240,13.781965006729475,2,,
5,1,20,1,10.453891263175398,10.599999999999978,368.6000000000153,20480,26.459948320413435,7,,
6,9,4,50,69.78901898431089,70.0000000000003,390.1000000000202,5120,7.0523415977961434,4,,
7,4,15,80,29.531920488707016,32.000000000000185,488.40000000004255,5120,50.693069306930695,21,,
8,7,5,10,64.0060556182724,64.50000000000061,506.6000000000467,5120,7.804878048780488,5,,
9,6,14,50,63.09653157220674,63.50000000000063,545.4000000000555,5120,6.890982503364738,20,,
