,job_id,nb_tasks,task_execution_time,arriving_time,starting_time,finishing_time,dataset size,transfert time,nb replicas,optimal_replicas_number,nb_first_replicas_sended
0,1,14,1,104.53891263175399,105.0999999999983,117.79999999999758,1024,1.7038269550748752,3,,
1,2,3,10,136.70131903925054,137.0999999999965,165.1999999999949,2048,2.615581098339719,2,,
2,0,18,1,102.0060287274801,103.09999999999842,218.39999999999188,20480,28.093278463648833,9,,
3,4,18,10,295.3192048870702,296.09999999999883,537.0000000000535,40960,68.153078202995,4,,
4,3,17,80,161.9599376062619,162.09999999999508,925.5000000001419,1024,1.4046639231824416,8,,
