,job_id,node_id,nb_tasks,transfert_time,time_of_use,data_size
0,1,2,7,325.07936507936506,8547.410237209491,40960
1,1,5,2,397.66990291262135,646.9478276929897,40960
2,1,7,0,333.0081300813008,0.0,40960
3,1,8,0,405.54455445544556,0.0,40960
4,1,14,0,445.2173913043478,0.0,40960
5,1,15,0,481.88235294117646,0.0,40960
6,0,52,0,2.748993288590604,0.0,2048
7,0,53,0,2.8287292817679557,0.0,2048
8,0,55,0,2.840499306518724,0.0,2048
9,0,56,0,2.786394557823129,0.0,2048
10,0,58,0,2.6391752577319587,0.0,2048
11,0,59,0,2.656290531776913,0.0,2048
12,0,60,0,2.797814207650273,0.0,2048
13,0,63,1,2.6222791293213827,50.39549614418014,2048
14,0,66,0,2.7750677506775068,0.0,2048
15,0,68,0,2.840499306518724,0.0,2048
16,0,70,0,2.9049645390070924,0.0,2048
17,0,71,0,2.6528497409326426,0.0,2048
18,0,50,1,2.959537572254335,51.07122083122078,2048
19,0,51,0,3.0206489675516224,0.0,2048
20,0,57,1,3.1314984709480123,73.27258671104879,2048
21,2,59,0,53.125810635538265,0.0,40960
22,0,61,1,3.324675324675325,63.63480875163043,2048
23,0,62,1,3.1124620060790273,82.35697951514783,2048
24,2,63,0,52.445582586427655,0.0,40960
25,0,64,1,3.3684210526315788,62.59179810961349,2048
26,1,65,0,62.06060606060606,0.0,40960
27,1,66,0,55.50135501355014,0.0,40960
28,1,68,0,56.80998613037448,0.0,40960
29,2,71,0,53.056994818652846,0.0,40960
30,0,5,0,19.883495145631066,0.0,2048
31,0,7,0,16.650406504065042,0.0,2048
32,3,51,0,60.41297935103245,0.0,40960
33,1,52,0,54.97986577181208,0.0,40960
34,1,53,0,56.574585635359114,0.0,40960
35,1,55,0,56.80998613037448,0.0,40960
36,1,56,0,55.72789115646258,0.0,40960
37,2,58,0,52.78350515463917,0.0,40960
38,1,60,0,55.95628415300546,0.0,40960
39,0,65,1,3.103030303030303,53.897154243875946,2048
40,0,69,1,3.282051282051282,60.47254528990328,2048
41,1,70,0,58.09929078014184,0.0,40960
42,0,72,1,3.330081300813008,85.53988632122415,2048
43,0,73,1,3.266347687400319,68.66164329672297,2048
44,1,63,0,52.445582586427655,0.0,40960
45,3,50,0,59.190751445086704,0.0,40960
46,3,57,0,62.62996941896024,0.0,40960
47,3,62,0,62.24924012158055,0.0,40960
48,3,65,0,62.06060606060606,0.0,40960
49,3,69,0,65.64102564102564,0.0,40960
50,0,2,1,16.253968253968253,87.21847180826012,2048
51,1,51,0,60.41297935103245,0.0,40960
52,2,52,0,54.97986577181208,0.0,40960
53,4,54,0,13.91304347826087,0.0,10240
54,4,56,0,13.931972789115646,0.0,10240
55,4,58,0,13.195876288659793,0.0,10240
56,1,59,0,53.125810635538265,0.0,40960
57,4,60,0,13.989071038251366,0.0,10240
58,1,61,0,66.49350649350649,0.0,40960
59,1,64,0,67.36842105263158,0.0,40960
60,2,66,0,55.50135501355014,0.0,40960
61,2,68,0,56.80998613037448,0.0,40960
62,1,71,0,53.056994818652846,0.0,40960
63,1,72,0,66.60162601626017,0.0,40960
64,1,50,0,59.190751445086704,0.0,40960
65,4,51,1,15.103244837758112,19.148320822972977,10240
66,5,52,0,54.97986577181208,0.0,40960
67,5,53,1,56.574585635359114,54.71093986373333,40960
68,5,54,1,55.65217391304348,103.78914715225338,40960
69,5,55,0,56.80998613037448,0.0,40960
70,5,57,1,62.62996941896024,73.27258671104879,40960
71,1,58,0,52.78350515463917,0.0,40960
72,2,60,0,55.95628415300546,0.0,40960
73,5,61,2,66.49350649350649,254.53923500652172,40960
74,2,62,0,62.24924012158055,0.0,40960
75,5,64,0,67.36842105263158,0.0,40960
76,5,67,0,54.90616621983914,0.0,40960
77,5,69,0,65.64102564102564,0.0,40960
78,5,72,1,66.60162601626017,85.53988632122415,40960
79,4,73,1,16.331738437001594,13.732328659344596,10240
80,3,73,1,65.32695374800637,109.85862927475677,40960
81,5,50,0,59.190751445086704,0.0,40960
82,3,53,0,56.574585635359114,0.0,40960
83,3,55,0,56.80998613037448,0.0,40960
84,3,56,0,55.72789115646258,0.0,40960
85,5,58,0,52.78350515463917,0.0,40960
86,4,59,0,13.281452658884566,0.0,10240
87,5,60,2,55.95628415300546,296.3820184611909,40960
88,2,65,0,62.06060606060606,0.0,40960
89,3,66,0,55.50135501355014,0.0,40960
90,5,68,0,56.80998613037448,0.0,40960
91,5,70,0,58.09929078014184,0.0,40960
92,5,71,0,53.056994818652846,0.0,40960
93,6,74,0,57.36694677871149,0.0,40960
94,6,75,0,57.04735376044568,0.0,40960
95,4,80,0,15.65749235474006,0.0,10240
96,6,86,0,66.71009771986971,0.0,40960
97,6,87,0,51.78255372945638,0.0,40960
98,6,88,0,56.73130193905817,0.0,40960
99,4,91,0,15.515151515151516,0.0,10240
100,2,50,1,59.190751445086704,81.71395332995324,40960
101,2,51,0,60.41297935103245,0.0,40960
102,3,52,2,54.97986577181208,404.7868005414261,40960
103,6,53,3,56.574585635359114,98.47969175472,40960
104,6,54,0,55.65217391304348,0.0,40960
105,5,59,3,53.125810635538265,604.2995641939431,40960
106,5,62,0,62.24924012158055,0.0,40960
107,3,63,0,52.445582586427655,0.0,40960
108,3,68,0,56.80998613037448,0.0,40960
109,6,69,0,65.64102564102564,0.0,40960
110,6,73,0,65.32695374800637,0.0,40960
111,7,80,1,3.1314984709480123,7.942564501802874,2048
112,7,84,1,2.56,9.829270563438692,2048
113,7,85,1,3.2050078247261347,8.873633101185304,2048
114,7,86,1,3.3355048859934855,6.870803593656699,2048
115,7,87,1,2.5891276864728194,8.168780805497097,2048
116,7,88,1,2.8365650969529086,6.200569349055814,2048
117,7,90,1,3.1653786707882534,8.031313987973673,2048
118,7,91,1,3.103030303030303,6.271843453503029,2048
119,7,92,1,2.748993288590604,9.766384508916357,2048
120,7,93,1,2.7018469656992083,8.378076614133764,2048
121,7,94,1,2.752688172043011,8.62949265789009,2048
122,4,53,0,14.143646408839778,0.0,10240
123,2,57,0,62.62996941896024,0.0,40960
124,3,60,1,55.95628415300546,118.55280738447635,40960
125,5,63,0,52.445582586427655,0.0,40960
126,8,64,0,16.842105263157894,0.0,10240
127,6,65,0,62.06060606060606,0.0,40960
128,8,73,0,16.331738437001594,0.0,10240
129,9,76,0,2.8723702664796633,0.0,2048
130,9,80,0,3.1314984709480123,0.0,2048
131,9,84,1,2.56,9.829270563438692,2048
132,9,85,1,3.2050078247261347,8.873633101185304,2048
133,9,87,0,2.5891276864728194,0.0,2048
134,9,90,1,3.1653786707882534,8.031313987973673,2048
135,6,91,0,62.06060606060606,0.0,40960
136,9,92,1,2.748993288590604,9.766384508916357,2048
137,9,93,1,2.7018469656992083,8.378076614133764,2048
138,9,94,1,2.752688172043011,8.62949265789009,2048
139,10,2,0,40.63492063492063,0.0,5120
140,10,4,0,67.36842105263158,0.0,5120
141,10,5,0,49.70873786407767,0.0,5120
142,10,8,1,50.693069306930695,188.64011770160886,5120
143,10,11,2,91.42857142857143,557.9509274132365,5120
144,10,12,0,48.76190476190476,0.0,5120
145,10,13,0,85.33333333333333,0.0,5120
146,10,14,0,55.65217391304348,0.0,5120
147,10,15,0,60.23529411764706,0.0,5120
148,10,16,0,53.333333333333336,0.0,5120
149,10,18,0,85.33333333333333,0.0,5120
150,10,19,0,88.27586206896552,0.0,5120
151,10,20,0,52.78350515463917,0.0,5120
152,10,22,0,64.0,0.0,5120
153,10,23,0,85.33333333333333,0.0,5120
154,10,52,0,6.87248322147651,0.0,5120
155,8,57,0,15.65749235474006,0.0,10240
156,6,58,0,52.78350515463917,0.0,40960
157,6,59,0,53.125810635538265,0.0,40960
158,3,64,0,67.36842105263158,0.0,40960
159,10,72,0,8.325203252032521,0.0,5120
160,9,96,1,3.070464767616192,7.256735451182305,2048
161,9,97,1,3.029585798816568,8.686760891839885,2048
162,9,99,1,2.752688172043011,8.484637021972372,2048
163,8,2,0,81.26984126984127,0.0,10240
164,10,6,0,128.0,0.0,5120
165,10,7,0,41.6260162601626,0.0,5120
166,10,9,0,131.28205128205127,0.0,5120
167,11,14,0,111.30434782608695,0.0,10240
168,11,15,0,120.47058823529412,0.0,10240
169,11,16,3,106.66666666666667,968.8595973355036,10240
170,10,50,1,7.398843930635838,102.14244166244156,5120
171,3,54,0,55.65217391304348,0.0,40960
172,2,55,0,56.80998613037448,0.0,40960
173,2,56,2,55.72789115646258,378.12468955889295,40960
174,12,60,0,13.989071038251366,0.0,10240
175,12,61,0,16.623376623376622,0.0,10240
176,12,62,0,15.562310030395137,0.0,10240
177,12,63,0,13.111395646606914,0.0,10240
178,12,64,0,16.842105263157894,0.0,10240
179,12,65,1,15.515151515151516,107.79430848775189,10240
180,12,66,1,13.875338753387535,153.39559490655398,10240
181,12,68,1,14.20249653259362,126.72969666352971,10240
182,12,69,1,16.41025641025641,120.94509057980656,10240
183,12,70,0,14.52482269503546,0.0,10240
184,12,71,0,13.264248704663212,0.0,10240
185,12,72,0,16.650406504065042,0.0,10240
186,12,73,0,16.331738437001594,0.0,10240
187,6,80,0,62.62996941896024,0.0,40960
188,4,84,0,12.8,0.0,10240
189,4,85,0,16.025039123630673,0.0,10240
190,4,90,0,15.826893353941268,0.0,10240
191,4,92,0,13.74496644295302,0.0,10240
192,6,93,0,54.03693931398417,0.0,40960
193,6,94,0,55.053763440860216,0.0,40960
194,6,96,0,61.40929535232384,0.0,40960
195,4,97,0,15.14792899408284,0.0,10240
196,4,99,0,13.763440860215054,0.0,10240
197,4,2,0,81.26984126984127,0.0,10240
198,4,4,0,134.73684210526315,0.0,10240
199,11,7,0,83.2520325203252,0.0,10240
200,11,22,0,128.0,0.0,10240
201,12,55,0,14.20249653259362,0.0,10240
202,12,56,0,13.931972789115646,0.0,10240
203,12,57,0,15.65749235474006,0.0,10240
204,12,58,0,13.195876288659793,0.0,10240
205,12,59,0,13.281452658884566,0.0,10240
206,11,67,0,13.726541554959786,0.0,10240
207,13,69,1,3.282051282051282,60.47254528990328,2048
208,13,70,1,2.9049645390070924,69.48636616242545,2048
209,13,71,1,2.6528497409326426,90.09917172029178,2048
210,13,72,1,3.330081300813008,85.53988632122415,2048
211,13,73,1,3.266347687400319,68.66164329672297,2048
212,10,71,1,6.632124352331606,180.19834344058356,5120
