,job_id,nb_tasks,task_execution_time,arriving_time,starting_time,finishing_time,dataset size,transfert time,nb replicas,optimal_replicas_number,nb_first_replicas_sended
0,0,6,100,102.0060287274801,103.09999999999842,302.30000000000024,10240,13.229974160206718,12,,
1,1,11,50,104.53891263175399,105.0999999999983,309.80000000000194,2048,2.756393001345895,12,,
2,2,7,50,136.70131903925054,137.0999999999965,393.40000000002095,1024,1.5609756097560976,7,,
3,5,9,1,408.2365057669295,409.0000000000245,467.70000000003785,40960,52.91989664082687,4,,
4,3,3,70,161.9599376062619,162.09999999999508,503.80000000004605,1024,1.6623376623376624,3,,
5,4,12,50,295.3192048870702,296.09999999999883,679.1000000000859,20480,25.728643216080403,12,,
6,10,3,1,722.5618594390916,723.0000000000958,785.50000000011,40960,53.89473684210526,3,,
7,7,13,1,640.0605561827242,641.0000000000772,855.900000000126,20480,28.248275862068965,23,,
8,6,15,80,630.9653157220675,632.0000000000751,925.5000000001419,1024,1.4442877291960508,19,,
9,12,8,1,795.6428525937376,796.0000000001124,974.200000000153,10240,12.864321608040202,4,,
10,9,12,80,697.8901898431092,698.0000000000902,1071.3000000001211,2048,2.645994832041344,12,,
11,11,8,50,792.9534122257069,794.000000000112,1167.6000000000336,1024,1.4607703281027105,18,,
12,8,10,100,694.8651721223733,695.0000000000895,1253.3999999999555,20480,26.459948320413435,46,,
13,14,12,10,922.7612196323629,923.0000000001413,1305.1999999999084,5120,7.221438645980254,10,,
14,13,9,70,817.8120195101056,818.0000000001174,1333.9999999998822,40960,51.45728643216081,17,,
15,15,12,10,1001.494145056603,1002.0000000001593,1350.9999999998668,40960,51.45728643216081,15,,
16,16,9,100,1026.3967869532853,1027.0000000001614,1521.7999999997114,40960,52.91989664082687,12,,
17,19,8,10,1281.803463861198,1282.0999999999294,1555.9999999996803,10240,16.305732484076433,5,,
18,17,3,80,1115.3776575834615,1116.0000000000805,1617.799999999624,40960,62.4390243902439,3,,
19,18,6,80,1281.1514670057713,1282.0999999999294,1763.4999999994916,40960,52.91989664082687,6,,
