,job_id,nb_tasks,task_execution_time,arriving_time,starting_time,finishing_time,dataset size,transfert time,nb replicas,optimal_replicas_number,nb_first_replicas_sended
0,0,12,50,102.0060287274801,103.09999999999842,204.89999999999264,2048,3.103030303030303,24,,
1,3,6,80,161.9599376062619,162.09999999999508,340.900000000009,40960,56.80998613037448,6,,
2,2,3,80,136.70131903925054,137.0999999999965,361.6000000000137,40960,53.056994818652846,6,,
3,4,8,10,295.3192048870702,296.09999999999883,379.9000000000179,10240,13.264248704663212,8,,
4,1,9,100,104.53891263175399,105.0999999999983,414.6000000000258,40960,58.09929078014184,27,,
5,5,13,50,408.2365057669295,409.0000000000245,553.6000000000573,40960,53.056994818652846,13,,
6,7,11,1,640.0605561827242,641.0000000000772,645.9000000000783,2048,2.6528497409326426,11,,
7,9,9,1,697.8901898431092,698.0000000000902,702.9000000000913,2048,2.6528497409326426,9,,
8,8,2,50,694.8651721223733,695.0000000000895,775.3000000001077,10240,13.74496644295302,4,,
9,10,19,100,722.5618594390916,723.0000000000958,922.5000000001412,5120,6.632124352331606,19,,
10,11,7,100,792.9534122257069,794.000000000112,1096.2000000000985,10240,13.264248704663212,14,,
11,12,13,100,795.6428525937376,796.0000000001124,1114.0000000000823,10240,16.331738437001594,13,,
12,6,18,10,630.9653157220675,632.0000000000751,1132.8000000000652,40960,52.445582586427655,93,,
13,13,5,50,817.8120195101056,818.0000000001174,1180.5000000000218,2048,2.6528497409326426,5,,
14,14,8,100,922.7612196323629,923.0000000001413,1360.699999999858,20480,26.528497409326423,8,,
15,19,3,1,1281.803463861198,1282.0999999999294,1383.9999999998367,1024,1.420249653259362,3,,
16,16,19,70,1026.3967869532853,1027.0000000001614,1396.899999999825,20480,26.222791293213827,19,,
17,15,18,50,1001.494145056603,1002.0000000001593,1450.799999999776,40960,52.445582586427655,41,,
18,17,13,50,1115.3776575834615,1116.0000000000805,1540.899999999694,2048,3.266347687400319,13,,
19,20,5,100,1445.7000500702532,1446.0999999997803,1632.199999999611,2048,2.6391752577319587,5,,
20,18,5,80,1281.1514670057713,1282.0999999999294,1685.099999999563,10240,13.264248704663212,5,,
21,21,14,80,1565.4790441676016,1566.0999999996711,1778.6999999994778,1024,1.6842105263157894,14,,
22,22,13,70,1607.0685528174597,1608.099999999633,1855.399999999408,20480,26.528497409326423,26,,
23,23,15,80,1623.9671796261866,1624.0999999996184,1925.1999999993445,5120,8.165869218500797,15,,
24,24,18,1,1939.119444470017,1940.099999999331,2119.099999999168,40960,54.90616621983914,28,,
25,27,4,50,2000.061471091684,2001.0999999992755,2188.1999999991053,10240,14.20249653259362,4,,
26,26,9,100,1989.889602592121,1990.0999999992855,2189.599999999104,5120,7.10124826629681,9,,
27,25,4,100,1980.1563374581253,1981.0999999992937,2303.899999999,20480,26.528497409326423,12,,
28,28,6,70,2188.1168452549978,2189.0999999991045,2325.1999999989807,1024,1.3931972789115645,6,,
29,29,9,80,2280.6817919505993,2281.099999999021,2430.599999998885,2048,2.7750677506775068,9,,
30,30,17,1,2445.2547858911253,2446.0999999988708,2505.9999999988163,40960,53.056994818652846,9,,
31,31,10,100,2576.0888289357517,2577.0999999987516,2787.1999999985605,20480,26.528497409326423,10,,
32,32,20,10,2652.9250713387687,2653.0999999986825,2805.499999998544,2048,3.330081300813008,20,,
33,33,12,10,3014.546589907771,3015.0999999983533,3063.1999999983095,20480,26.528497409326423,12,,
34,34,17,1,3062.1140581926693,3063.0999999983096,3094.499999998281,20480,26.528497409326423,10,,
35,35,11,70,3142.4193327413177,3143.099999998237,3279.199999998113,1024,1.6623376623376624,11,,
36,36,4,50,3319.265431199868,3320.099999998076,3418.699999997986,5120,6.640726329442283,4,,
37,37,8,1,3415.635051712553,3416.0999999979886,3420.999999997984,2048,2.6222791293213827,8,,
38,38,19,1,3613.4730452468943,3614.0999999978085,3618.099999997805,1024,1.3264248704663213,19,,
39,39,16,1,3699.594639381779,3700.0999999977303,3732.9999999977003,20480,27.75067750677507,9,,
40,41,16,80,3826.218350632251,3827.0999999976148,3984.299999997472,2048,3.330081300813008,16,,
41,42,9,80,3852.0822476669673,3853.099999997591,4137.499999997521,20480,29.04964539007092,9,,
42,40,5,10,3821.527596606562,3822.0999999976193,4182.499999997684,40960,52.445582586427655,40,,
43,44,7,100,3894.5606656308346,3895.099999997553,4216.399999997808,5120,7.26241134751773,7,,
44,48,8,1,4065.2504822714604,4066.0999999973974,4219.299999997818,5120,7.398843930635838,8,,
45,49,1,80,4110.637085263472,4111.099999997425,4245.599999997914,20480,26.562905317769133,1,,
46,47,15,1,3964.2769947180122,3965.0999999974892,4290.099999998076,2048,3.282051282051282,11,,
47,46,12,70,3931.707636721183,3932.0999999975193,4320.199999998185,20480,28.40499306518724,13,,
48,43,14,10,3886.2451133849354,3887.09999999756,4334.999999998239,20480,29.04964539007092,45,,
49,45,13,100,3921.060253270035,3922.0999999975284,4483.199999998778,40960,53.056994818652846,49,,
