48,10240,22
49,10240,25
36,10240,1
33,10240,74
30,10240,84
32,10240,6
26,10240,22
29,10240,31
35,2048,138
11,2048,202
8,2048,204
5,2048,127
7,2048,219
6,2048,248
25,2048,141
1,2048,161
28,2048,270
27,2048,195
31,2048,307
34,2048,149
9,2048,180
4,2048,178
3,2048,180
18,7168,196
39,5120,251
46,5120,274
37,5120,254
24,5120,258
19,5120,245
43,5120,230
44,5120,261
47,5120,286
14,5120,274
22,5120,834
42,4096,329
45,4096,351
40,4096,342
41,4096,342
13,4096,316
17,4096,335
12,4096,371
15,4096,402
23,4096,414
10,1024,131
2,1024,153
