,job_id,nb_tasks,task_execution_time,arriving_time,starting_time,finishing_time,dataset size,transfert time,nb replicas,optimal_replicas_number,nb_first_replicas_sended
0,2,7,50,13.670131903925054,14.099999999999966,107.89999999999814,1024,1.4104683195592287,13,,
1,3,3,70,16.195993760626187,17.099999999999973,148.19999999999587,1024,1.610062893081761,3,,
2,1,11,50,10.453891263175398,11.099999999999977,223.89999999999156,2048,3.261146496815287,44,,
3,12,8,1,79.56428525937375,80.09999999999972,224.69999999999152,10240,14.691535150645624,19,,
4,14,12,10,92.27612196323628,93.09999999999899,291.4999999999978,5120,54.46808510638298,24,,
5,7,13,1,64.0060556182724,65.00000000000058,300.7999999999999,20480,28.209366391184574,40,,
6,15,12,10,100.14941450566029,101.09999999999853,314.400000000003,40960,56.49655172413793,34,,
7,0,6,100,10.200602872748009,11.099999999999977,317.1000000000036,10240,13.229974160206718,24,,
8,10,3,1,72.25618594390913,73.00000000000013,348.60000000001077,40960,67.36842105263158,13,,
9,11,8,50,79.29534122257067,80.09999999999972,375.00000000001677,1024,64.0,20,,
10,6,15,80,63.09653157220674,64.00000000000064,457.3000000000355,1024,8.126984126984127,52,,
11,5,9,1,40.82365057669294,41.00000000000031,474.30000000003935,40960,51.45728643216081,32,,
12,9,12,80,69.78901898431089,70.0000000000003,478.70000000004035,2048,89.04347826086956,54,,
13,19,8,10,128.1803463861198,129.09999999999695,548.4000000000561,10240,16.10062893081761,7,,
14,8,10,100,69.4865172122373,70.0000000000003,601.9000000000683,20480,28.209366391184574,63,,
15,17,3,80,111.53776575834615,156.5999999999954,690.5000000000884,40960,67.36842105263158,2,,
16,13,9,70,81.78120195101056,82.09999999999961,842.9000000001231,40960,55.1278600269179,17,,
17,16,9,100,102.63967869532853,103.09999999999842,876.6000000001308,40960,55.1278600269179,12,,
18,18,6,80,128.11514670057713,210.09999999999235,878.9000000001313,40960,67.36842105263158,5,,
19,4,12,50,29.531920488707016,30.000000000000156,1059.0000000001323,20480,166.5040650406504,34,,
